,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date,CRSDepHour,CRSArrHour
3438,IAH,JAN,351.0,4,13,4,Spring,2023-07-17 13:35:00,815,Afternoon,85.0,1500,XE,5,2,7,17,1,1,25.0,21.0,Moderately delayed,2006-04-13,13,15
3439,SJC,SBA,234.0,6,2,9,Autumn,2023-07-17 16:58:00,1018,Afternoon,62.0,1800,OO,3,3,6,12,1,1,-10.0,-12.0,On-time,2006-09-02,16,18
3440,ORD,IAH,925.0,1,30,1,Winter,2023-07-17 19:20:00,1160,Evening,157.0,2157,CO,11,5,16,18,3,1,-5.0,-14.0,On-time,2006-01-30,19,21
3441,CVG,DTW,229.0,4,20,4,Spring,2023-07-17 18:55:00,1135,Evening,77.0,2012,OH,4,6,10,14,2,2,-2.0,-11.0,On-time,2006-04-20,18,20
3442,DFW,IND,762.0,3,1,11,Autumn,2023-07-17 20:00:00,1200,Evening,120.0,2300,AA,7,3,10,11,1,2,-7.0,-14.0,On-time,2006-11-01,20,23
3443,MDW,BHM,570.0,7,21,5,Spring,2023-07-17 08:15:00,495,Morning,95.0,0950,WN,5,2,7,16,2,1,-3.0,-10.0,On-time,2006-05-21,8,9
3444,STL,MCO,880.0,6,22,7,Summer,2023-07-17 17:15:00,1035,Afternoon,140.0,2035,WN,4,4,8,15,1,1,11.0,0.0,On-time,2006-07-22,17,20
3445,PHX,MSP,1276.0,6,2,12,Winter,2023-07-17 14:00:00,840,Afternoon,184.0,1804,NW,3,4,7,14,1,1,-5.0,-16.0,On-time,2006-12-02,14,18
3446,RIC,ATL,481.0,6,4,3,Spring,2023-07-17 08:30:00,510,Morning,111.0,1021,DL,3,5,8,14,2,3,-4.0,-25.0,On-time,2006-03-04,8,10
3447,IAH,PHX,1009.0,1,6,2,Winter,2023-07-17 09:10:00,550,Morning,174.0,1104,CO,5,3,8,16,2,2,0.0,0.0,On-time,2006-02-06,9,11
3448,BUR,LAS,223.0,5,8,12,Winter,2023-07-17 12:35:00,755,Afternoon,60.0,1335,WN,2,4,6,16,2,1,7.0,6.0,Slightly delayed,2006-12-08,12,13
3449,MIA,PHL,1013.0,5,22,12,Winter,2023-07-17 11:55:00,715,Morning,160.0,1435,US,4,4,8,16,1,2,81.0,104.0,Excessively delayed,2006-12-22,11,14
3450,PDX,SFO,550.0,7,5,11,Autumn,2023-07-17 06:45:00,405,Morning,114.0,0839,AS,3,4,7,14,1,2,-7.0,-13.0,On-time,2006-11-05,6,8
3451,PHL,SFO,2521.0,6,26,8,Summer,2023-07-17 14:00:00,840,Afternoon,355.0,1655,US,4,4,8,11,1,2,0.0,12.0,Slightly delayed,2006-08-26,14,16
3452,TUS,IAH,936.0,1,6,2,Winter,2023-07-17 08:45:00,525,Morning,141.0,1206,CO,3,5,8,16,1,2,1.0,-4.0,On-time,2006-02-06,8,12
3453,TPA,IND,838.0,1,29,5,Spring,2023-07-17 18:20:00,1100,Evening,140.0,2040,NW,3,3,6,18,2,1,-17.0,-19.0,On-time,2006-05-29,18,20
3454,DFW,ATL,732.0,2,24,10,Autumn,2023-07-17 19:10:00,1150,Evening,122.0,2212,DL,7,5,12,14,3,2,-9.0,-16.0,On-time,2006-10-24,19,22
3455,MSP,ATL,906.0,5,9,6,Summer,2023-07-17 16:59:00,1019,Afternoon,160.0,2039,EV,4,5,9,14,2,4,76.0,46.0,Moderately delayed,2006-06-09,16,20
