,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date,CRSDepHour,CRSArrHour
0,CVG,CMH,116.0,1,19,6,Summer,2023-07-17 10:30:00,630,Morning,48.0,1118,OH,4,2,6,18,2,2,5.0,2.0,Slightly delayed,2006-06-19,10,11
1,ATL,SGF,563.0,7,30,7,Summer,2023-07-17 20:35:00,1235,Evening,112.0,2127,EV,5,2,7,17,2,1,153.0,136.0,Excessively delayed,2006-07-30,20,21
2,PBI,BDL,1133.0,1,31,7,Summer,2023-07-17 12:00:00,720,Afternoon,170.0,1450,DL,3,3,6,12,2,1,0.0,-4.0,On-time,2006-07-31,12,14
3,PIT,PHL,267.0,3,27,12,Winter,2023-07-17 16:50:00,1010,Afternoon,70.0,1800,US,4,4,8,19,1,1,-4.0,-11.0,On-time,2006-12-27,16,18
4,ORD,ANC,2846.0,7,23,7,Summer,2023-07-17 19:20:00,1160,Evening,399.0,2259,AS,11,3,14,12,1,2,8.0,-2.0,On-time,2006-07-23,19,22
5,LBB,DFW,282.0,1,20,3,Spring,2023-07-17 14:46:00,886,Afternoon,62.0,1548,MQ,3,7,10,19,1,3,50.0,86.0,Excessively delayed,2006-03-20,14,15
6,MSP,SAN,1532.0,3,25,1,Winter,2023-07-17 17:20:00,1040,Afternoon,236.0,1916,NW,4,1,5,10,2,1,-1.0,-4.0,On-time,2006-01-25,17,19
7,PHX,PSP,261.0,5,20,10,Autumn,2023-07-17 10:06:00,606,Morning,72.0,1118,YV,3,2,5,11,1,1,19.0,22.0,Moderately delayed,2006-10-20,10,11
8,ATL,AEX,500.0,3,22,11,Autumn,2023-07-17 20:48:00,1248,Evening,100.0,2128,EV,5,2,7,15,5,1,-5.0,-8.0,On-time,2006-11-22,20,21
9,GRR,DTW,120.0,3,29,11,Autumn,2023-07-17 12:00:00,720,Afternoon,59.0,1259,NW,3,6,9,10,1,1,-2.0,11.0,Slightly delayed,2006-11-29,12,12
10,EWR,RDU,416.0,3,29,3,Spring,2023-07-17 17:25:00,1045,Afternoon,103.0,1908,CO,3,3,6,8,1,1,-4.0,-14.0,On-time,2006-03-29,17,19
11,PHX,SMF,647.0,2,20,6,Summer,2023-07-17 20:00:00,1200,Evening,110.0,2150,WN,3,2,5,25,3,1,42.0,41.0,Moderately delayed,2006-06-20,20,21
12,BWI,BDL,283.0,6,28,1,Winter,2023-07-17 15:35:00,935,Afternoon,65.0,1640,WN,4,3,7,12,1,1,-3.0,-10.0,On-time,2006-01-28,15,16
13,DFW,PHX,868.0,2,14,2,Winter,2023-07-17 06:00:00,360,Morning,156.0,0736,US,7,3,10,16,3,1,-4.0,-6.0,On-time,2006-02-14,6,7
14,MEM,SLC,1261.0,5,5,5,Spring,2023-07-17 08:10:00,490,Morning,205.0,1035,EV,4,4,8,14,2,2,0.0,2.0,Slightly delayed,2006-05-05,8,10
15,BOS,ATL,946.0,3,31,5,Spring,2023-07-17 18:45:00,1125,Evening,173.0,2138,DL,6,5,11,9,2,1,6.0,13.0,Slightly delayed,2006-05-31,18,21
16,PDX,SEA,129.0,4,4,5,Spring,2023-07-17 21:00:00,1260,Evening,48.0,2148,OO,3,4,7,16,1,2,-2.0,-4.0,On-time,2006-05-04,21,21
17,DAL,HOU,239.0,4,2,2,Winter,2023-07-17 15:30:00,930,Afternoon,60.0,1630,WN,3,4,7,15,1,2,18.0,19.0,Moderately delayed,2006-02-02,15,16
18,BOS,DEN,1754.0,1,30,10,Autumn,2023-07-17 09:30:00,570,Morning,277.0,1207,UA,6,6,12,10,2,1,-4.0,17.0,Moderately delayed,2006-10-30,9,12
19,ATL,PIA,564.0,5,24,2,Winter,2023-07-17 08:58:00,538,Morning,110.0,0948,EV,5,2,7,13,2,1,-2.0,-6.0,On-time,2006-02-24,8,9
20,JAX,FLL,318.0,1,26,6,Summer,2023-07-17 15:30:00,930,Afternoon,75.0,1645,WN,2,3,5,15,1,1,5.0,-1.0,On-time,2006-06-26,15,16
21,IAH,HRL,295.0,5,21,4,Spring,2023-07-17 11:50:00,710,Morning,70.0,1300,XE,5,3,8,14,1,1,75.0,68.0,Excessively delayed,2006-04-21,11,13
22,ATL,MDT,619.0,6,4,3,Spring,2023-07-17 08:59:00,539,Morning,112.0,1051,EV,5,1,6,14,3,1,-3.0,-5.0,On-time,2006-03-04,8,10
23,ORD,TVC,224.0,2,15,8,Summer,2023-07-17 20:50:00,1250,Evening,62.0,2252,OO,11,3,14,8,2,1,12.0,2.0,Slightly delayed,2006-08-15,20,22
24,DTW,MEM,610.0,7,5,2,Winter,2023-07-17 17:03:00,1023,Afternoon,125.0,1808,NW,6,4,10,10,1,1,11.0,27.0,Moderately delayed,2006-02-05,17,18
25,ELP,DEN,563.0,2,11,4,Spring,2023-07-17 17:08:00,1028,Afternoon,103.0,1851,OO,3,6,9,12,1,2,-2.0,-11.0,On-time,2006-04-11,17,18
26,PHL,MHT,290.0,4,14,9,Autumn,2023-07-17 21:55:00,1315,Evening,75.0,2310,WN,4,2,6,6,1,1,74.0,65.0,Excessively delayed,2006-09-14,21,23
27,IAH,MCO,853.0,7,2,4,Spring,2023-07-17 21:05:00,1265,Evening,133.0,0018,CO,5,4,9,14,3,2,9.0,-1.0,On-time,2006-04-02,21,0
28,DEN,MLI,751.0,3,16,8,Summer,2023-07-17 19:33:00,1173,Evening,117.0,2230,OO,6,3,9,12,3,1,-4.0,-3.0,On-time,2006-08-16,19,22
29,BOS,BWI,370.0,7,14,5,Spring,2023-07-17 10:45:00,645,Morning,89.0,1214,FL,6,4,10,16,1,2,3.0,-10.0,On-time,2006-05-14,10,12
30,IAH,XNA,438.0,3,13,9,Autumn,2023-07-17 15:32:00,932,Afternoon,92.0,1704,XE,5,2,7,14,2,1,-2.0,-14.0,On-time,2006-09-13,15,17
31,ATL,VPS,264.0,1,3,4,Spring,2023-07-17 13:00:00,780,Afternoon,68.0,1308,DL,5,2,7,18,3,1,2.0,7.0,Slightly delayed,2006-04-03,13,13
32,EWR,ATL,745.0,3,22,2,Winter,2023-07-17 15:30:00,930,Afternoon,160.0,1810,CO,3,5,8,20,2,3,52.0,80.0,Excessively delayed,2006-02-22,15,18
33,DFW,MSP,852.0,6,20,5,Spring,2023-07-17 13:05:00,785,Afternoon,142.0,1527,AA,7,4,11,12,3,1,-2.0,-7.0,On-time,2006-05-20,13,15
34,LAS,BWI,2106.0,5,12,5,Spring,2023-07-17 22:46:00,1366,Evening,270.0,0616,US,4,4,8,12,2,2,73.0,85.0,Excessively delayed,2006-05-12,22,6
35,MCO,FNT,1011.0,2,7,3,Spring,2023-07-17 10:30:00,630,Morning,162.0,1312,NW,4,2,6,13,1,1,-2.0,30.0,Moderately delayed,2006-03-07,10,13
36,ORD,MCO,1005.0,2,24,10,Autumn,2023-07-17 10:45:00,645,Morning,155.0,1420,AA,11,4,15,14,3,2,-3.0,-23.0,On-time,2006-10-24,10,14
37,ORD,CVG,264.0,4,26,10,Autumn,2023-07-17 20:15:00,1215,Evening,78.0,2233,OH,11,4,15,18,2,1,68.0,50.0,Moderately delayed,2006-10-26,20,22
38,ORD,PBI,1144.0,5,14,4,Spring,2023-07-17 19:05:00,1145,Evening,168.0,2253,UA,11,3,14,12,3,1,9.0,67.0,Excessively delayed,2006-04-14,19,22
39,PDX,ATL,2172.0,3,27,12,Winter,2023-07-17 07:00:00,420,Morning,274.0,1434,DL,3,5,8,19,1,3,-6.0,1.0,Slightly delayed,2006-12-27,7,14
40,FAT,LAX,209.0,6,4,3,Spring,2023-07-17 11:44:00,704,Morning,73.0,1257,MQ,2,4,6,14,1,1,0.0,-5.0,On-time,2006-03-04,11,12
41,LAX,DFW,1235.0,2,24,10,Autumn,2023-07-17 09:15:00,555,Morning,185.0,1420,AA,4,7,11,14,3,3,-2.0,-22.0,On-time,2006-10-24,9,14
42,ORD,SLC,1249.0,5,29,9,Autumn,2023-07-17 16:55:00,1015,Afternoon,208.0,1923,OO,11,4,15,16,2,1,-1.0,-6.0,On-time,2006-09-29,16,19
43,BOS,DCA,399.0,3,8,2,Winter,2023-07-17 17:45:00,1065,Afternoon,102.0,1927,US,6,3,9,16,2,3,-8.0,-7.0,On-time,2006-02-08,17,19
44,MSP,MBS,463.0,5,26,5,Spring,2023-07-17 20:10:00,1210,Evening,94.0,2244,NW,4,2,6,10,1,1,9.0,2.0,Slightly delayed,2006-05-26,20,22
45,RSW,EWR,1068.0,2,14,11,Autumn,2023-07-17 15:05:00,905,Afternoon,178.0,1803,CO,1,3,4,5,1,1,34.0,71.0,Excessively delayed,2006-11-14,15,18
46,DTW,SDF,306.0,6,28,1,Winter,2023-07-17 12:32:00,752,Afternoon,81.0,1353,NW,6,3,9,12,1,1,-2.0,-18.0,On-time,2006-01-28,12,13
47,MCO,EWR,938.0,7,11,6,Summer,2023-07-17 11:35:00,695,Morning,165.0,1420,B6,4,3,7,10,1,1,1.0,-14.0,On-time,2006-06-11,11,14
48,CLE,MCO,895.0,4,9,2,Winter,2023-07-17 08:50:00,530,Morning,145.0,1115,CO,4,4,8,12,1,1,-1.0,1.0,Slightly delayed,2006-02-09,8,11
49,OGG,HNL,100.0,1,23,10,Autumn,2023-07-17 07:30:00,450,Morning,34.0,0804,HA,2,6,8,15,1,2,-4.0,-7.0,On-time,2006-10-23,7,8
50,OMA,IAH,781.0,6,24,6,Summer,2023-07-17 12:45:00,765,Afternoon,139.0,1504,XE,3,5,8,16,1,2,-9.0,-16.0,On-time,2006-06-24,12,15
51,IAH,RNO,1530.0,1,5,6,Summer,2023-07-17 09:35:00,575,Morning,237.0,1132,CO,5,3,8,9,1,1,-4.0,-17.0,On-time,2006-06-05,9,11
52,CVG,BDL,661.0,3,1,3,Spring,2023-07-17 10:45:00,645,Morning,107.0,1232,DL,4,3,7,14,1,1,-4.0,6.0,Slightly delayed,2006-03-01,10,12
53,ATL,RDU,356.0,2,24,10,Autumn,2023-07-17 18:59:00,1139,Evening,82.0,2021,DL,5,3,8,14,2,2,0.0,-4.0,On-time,2006-10-24,18,20
54,MDW,BHM,570.0,4,30,3,Spring,2023-07-17 08:20:00,500,Morning,100.0,1000,WN,5,2,7,12,1,1,0.0,-7.0,On-time,2006-03-30,8,10
55,TUL,PHX,935.0,2,19,12,Winter,2023-07-17 06:20:00,380,Morning,165.0,0805,WN,3,3,6,11,1,2,4.0,-5.0,On-time,2006-12-19,6,8
56,STL,LGA,887.0,6,23,12,Winter,2023-07-17 10:55:00,655,Morning,135.0,1410,AA,4,3,7,12,2,1,19.0,8.0,Slightly delayed,2006-12-23,10,14
57,SLC,FCA,532.0,1,17,7,Summer,2023-07-17 21:08:00,1268,Evening,96.0,2244,EV,4,3,7,15,3,2,0.0,16.0,Moderately delayed,2006-07-17,21,22
58,MSP,MDW,349.0,2,14,2,Winter,2023-07-17 16:35:00,995,Afternoon,100.0,1815,FL,4,5,9,16,1,2,-8.0,-27.0,On-time,2006-02-14,16,18
59,TPA,BNA,612.0,4,9,11,Autumn,2023-07-17 18:55:00,1135,Evening,110.0,1945,WN,3,4,7,16,1,1,0.0,-3.0,On-time,2006-11-09,18,19
60,ATL,MIA,595.0,4,17,8,Summer,2023-07-17 18:20:00,1100,Evening,115.0,2015,DL,5,4,9,10,2,1,-1.0,-13.0,On-time,2006-08-17,18,20
61,BHM,EWR,850.0,4,31,8,Summer,2023-07-17 15:24:00,924,Afternoon,166.0,1910,XE,2,3,5,11,1,1,-4.0,-4.0,On-time,2006-08-31,15,19
62,SEA,ABQ,1180.0,4,13,4,Spring,2023-07-17 14:00:00,840,Afternoon,180.0,1800,WN,4,4,8,17,2,1,-5.0,-15.0,On-time,2006-04-13,14,18
63,SLC,BOI,291.0,7,13,8,Summer,2023-07-17 19:36:00,1176,Evening,68.0,2044,EV,4,3,7,14,3,1,9.0,-4.0,On-time,2006-08-13,19,20
64,CLE,MDW,307.0,7,14,5,Spring,2023-07-17 15:10:00,910,Afternoon,75.0,1525,XE,4,5,9,16,1,1,0.0,2.0,Slightly delayed,2006-05-14,15,15
65,LAS,TUS,365.0,1,27,11,Autumn,2023-07-17 21:35:00,1295,Evening,70.0,2345,WN,4,3,7,13,4,1,27.0,21.0,Moderately delayed,2006-11-27,21,23
66,DFW,IAD,1172.0,3,3,5,Spring,2023-07-17 18:35:00,1115,Evening,170.0,2225,AA,7,4,11,16,1,1,14.0,17.0,Moderately delayed,2006-05-03,18,22
67,RIC,CVG,413.0,5,3,11,Autumn,2023-07-17 06:45:00,405,Morning,95.0,0820,OH,3,4,7,13,1,2,65.0,63.0,Excessively delayed,2006-11-03,6,8
68,SAV,ATL,215.0,3,22,2,Winter,2023-07-17 12:25:00,745,Afternoon,63.0,1328,FL,2,5,7,20,1,3,22.0,15.0,Slightly delayed,2006-02-22,12,13
69,SEA,PHX,1107.0,1,12,6,Summer,2023-07-17 05:25:00,325,Night,171.0,0816,US,4,3,7,9,1,2,-1.0,1.0,Slightly delayed,2006-06-12,5,8
70,SJU,TPA,1237.0,6,15,7,Summer,2023-07-17 14:57:00,897,Afternoon,179.0,1756,AA,2,3,5,10,1,2,-1.0,-18.0,On-time,2006-07-15,14,17
71,ORD,CVG,264.0,2,11,7,Summer,2023-07-17 10:19:00,619,Morning,73.0,1232,MQ,11,4,15,19,3,1,-2.0,13.0,Slightly delayed,2006-07-11,10,12
72,BOS,IAH,1597.0,4,2,3,Spring,2023-07-17 10:20:00,620,Morning,260.0,1340,CO,6,5,11,10,1,1,4.0,0.0,On-time,2006-03-02,10,13
73,MSP,DEN,680.0,3,4,10,Autumn,2023-07-17 07:10:00,430,Morning,121.0,0811,NW,4,6,10,12,1,3,6.0,11.0,Slightly delayed,2006-10-04,7,8
74,OAK,ONT,361.0,3,3,5,Spring,2023-07-17 19:25:00,1165,Evening,70.0,2035,WN,4,2,6,16,2,1,12.0,12.0,Slightly delayed,2006-05-03,19,20
75,PBI,EWR,1024.0,1,14,8,Summer,2023-07-17 12:30:00,750,Afternoon,184.0,1534,CO,3,3,6,18,1,3,-6.0,-16.0,On-time,2006-08-14,12,15
76,HOU,ABQ,759.0,1,13,11,Autumn,2023-07-17 16:25:00,985,Afternoon,135.0,1740,WN,4,4,8,10,1,1,0.0,-5.0,On-time,2006-11-13,16,17
77,DFW,EWR,1372.0,6,13,5,Spring,2023-07-17 12:25:00,745,Afternoon,220.0,1705,CO,7,3,10,10,1,1,-6.0,-7.0,On-time,2006-05-13,12,17
78,BWI,MDW,611.0,3,7,6,Summer,2023-07-17 12:20:00,740,Afternoon,115.0,1315,WN,4,5,9,16,2,2,0.0,-10.0,On-time,2006-06-07,12,13
79,ORD,DCA,612.0,2,31,1,Winter,2023-07-17 17:00:00,1020,Afternoon,107.0,1947,UA,11,3,14,16,4,1,-1.0,-20.0,On-time,2006-01-31,17,19
80,DSM,ATL,743.0,2,11,7,Summer,2023-07-17 06:05:00,365,Morning,127.0,0912,EV,2,5,7,19,1,4,-6.0,-12.0,On-time,2006-07-11,6,9
81,MCO,DEN,1545.0,3,10,5,Spring,2023-07-17 18:07:00,1087,Evening,223.0,1950,UA,4,6,10,7,1,1,-8.0,19.0,Moderately delayed,2006-05-10,18,19
82,STL,IAH,668.0,7,16,7,Summer,2023-07-17 11:25:00,685,Morning,127.0,1332,XE,4,5,9,13,1,1,2.0,-4.0,On-time,2006-07-16,11,13
83,TPA,IND,838.0,2,31,10,Autumn,2023-07-17 12:40:00,760,Afternoon,140.0,1500,WN,3,3,6,15,1,2,37.0,27.0,Moderately delayed,2006-10-31,12,15
84,SJU,MCO,1189.0,2,19,12,Winter,2023-07-17 19:30:00,1170,Evening,185.0,2135,AA,2,4,6,11,1,1,-4.0,-14.0,On-time,2006-12-19,19,21
85,SLC,RDM,526.0,4,11,5,Spring,2023-07-17 15:06:00,906,Afternoon,99.0,1545,OO,4,2,6,14,1,1,0.0,-1.0,On-time,2006-05-11,15,15
86,LAS,MCI,1140.0,6,9,9,Autumn,2023-07-17 19:35:00,1175,Evening,165.0,0020,WN,4,3,7,12,1,1,-3.0,-21.0,On-time,2006-09-09,19,0
87,FAT,SLC,501.0,5,17,3,Spring,2023-07-17 06:20:00,380,Morning,90.0,0850,OO,2,4,6,11,1,1,-5.0,-15.0,On-time,2006-03-17,6,8
88,MCO,LGA,950.0,5,31,3,Spring,2023-07-17 08:00:00,480,Morning,160.0,1040,DL,4,3,7,11,2,1,2.0,-2.0,On-time,2006-03-31,8,10
89,LAX,ANC,2345.0,3,6,9,Autumn,2023-07-17 20:30:00,1230,Evening,319.0,0049,AS,4,3,7,13,1,1,-7.0,-12.0,On-time,2006-09-06,20,0
90,DFW,ATL,732.0,5,9,6,Summer,2023-07-17 09:05:00,545,Morning,130.0,1215,DL,7,5,12,14,1,4,-6.0,-14.0,On-time,2006-06-09,9,12
91,LGA,DCA,214.0,4,15,6,Summer,2023-07-17 13:10:00,790,Afternoon,69.0,1419,MQ,3,3,6,19,2,1,16.0,11.0,Slightly delayed,2006-06-15,13,14
92,LIT,DAL,296.0,1,20,3,Spring,2023-07-17 17:00:00,1020,Afternoon,65.0,1805,WN,3,3,6,19,1,1,34.0,40.0,Moderately delayed,2006-03-20,17,18
93,SHV,ATL,552.0,4,29,6,Summer,2023-07-17 10:40:00,640,Morning,103.0,1323,EV,2,5,7,13,1,1,0.0,-9.0,On-time,2006-06-29,10,13
94,IAH,LBB,458.0,5,7,7,Summer,2023-07-17 18:00:00,1080,Evening,97.0,1937,XE,5,3,8,13,1,1,-6.0,-1.0,On-time,2006-07-07,18,19
95,JFK,PBI,1028.0,7,1,10,Autumn,2023-07-17 08:50:00,530,Morning,186.0,1156,DL,4,3,7,12,1,1,-3.0,-8.0,On-time,2006-10-01,8,11
96,ATL,CVG,373.0,6,11,3,Spring,2023-07-17 12:03:00,723,Afternoon,87.0,1330,DL,5,4,9,12,3,2,4.0,-8.0,On-time,2006-03-11,12,13
97,MHT,EWR,209.0,2,1,8,Summer,2023-07-17 17:25:00,1045,Afternoon,89.0,1854,XE,2,3,5,16,1,1,82.0,97.0,Excessively delayed,2006-08-01,17,18
98,MCO,BWI,787.0,2,8,8,Summer,2023-07-17 14:45:00,885,Afternoon,135.0,1700,WN,4,4,8,16,1,2,18.0,9.0,Slightly delayed,2006-08-08,14,17
99,LGA,MSP,1020.0,1,20,11,Autumn,2023-07-17 15:15:00,915,Afternoon,190.0,1725,NW,3,4,7,11,1,1,-9.0,-21.0,On-time,2006-11-20,15,17
100,PHX,ABQ,328.0,5,3,3,Spring,2023-07-17 13:10:00,790,Afternoon,67.0,1417,US,3,4,7,15,4,1,-1.0,-5.0,On-time,2006-03-03,13,14
101,MSP,BDL,1050.0,4,19,10,Autumn,2023-07-17 07:50:00,470,Morning,152.0,1122,NW,4,3,7,21,1,1,29.0,28.0,Moderately delayed,2006-10-19,7,11
102,CLT,MIA,650.0,2,12,12,Winter,2023-07-17 15:55:00,955,Afternoon,122.0,1757,US,4,4,8,16,1,1,-3.0,-7.0,On-time,2006-12-12,15,17
103,SLC,PDX,630.0,6,9,9,Autumn,2023-07-17 11:41:00,701,Morning,114.0,1235,DL,4,3,7,12,1,1,-4.0,-4.0,On-time,2006-09-09,11,12
104,EWR,IAD,213.0,5,28,4,Spring,2023-07-17 08:43:00,523,Morning,82.0,1005,YV,3,4,7,12,2,1,0.0,20.0,Moderately delayed,2006-04-28,8,10
105,ATL,IAD,533.0,2,30,5,Spring,2023-07-17 10:47:00,647,Morning,112.0,1239,DL,5,4,9,11,1,1,-2.0,-8.0,On-time,2006-05-30,10,12
106,IAH,SNA,1347.0,7,20,8,Summer,2023-07-17 21:05:00,1265,Evening,199.0,2224,CO,5,2,7,15,2,1,0.0,6.0,Slightly delayed,2006-08-20,21,22
107,ROC,EWR,246.0,4,17,8,Summer,2023-07-17 13:35:00,815,Afternoon,75.0,1450,XE,3,3,6,10,1,1,-8.0,-20.0,On-time,2006-08-17,13,14
108,DEN,RAP,301.0,3,28,6,Summer,2023-07-17 19:35:00,1175,Evening,85.0,2100,YV,6,2,8,21,6,1,-4.0,0.0,On-time,2006-06-28,19,21
109,ATL,TPA,406.0,7,29,1,Winter,2023-07-17 21:15:00,1275,Evening,85.0,2240,FL,5,3,8,14,3,1,0.0,-4.0,On-time,2006-01-29,21,22
110,DTW,ORD,235.0,7,9,4,Spring,2023-07-17 09:08:00,548,Morning,77.0,0925,NW,6,11,17,13,1,4,-6.0,-11.0,On-time,2006-04-09,9,9
111,LAS,BWI,2106.0,1,20,11,Autumn,2023-07-17 17:25:00,1045,Afternoon,260.0,0045,WN,4,4,8,11,2,1,27.0,36.0,Moderately delayed,2006-11-20,17,0
112,BDL,ORD,783.0,3,15,11,Autumn,2023-07-17 10:15:00,615,Morning,150.0,1145,MQ,3,11,14,9,1,1,-3.0,47.0,Moderately delayed,2006-11-15,10,11
113,GSO,DFW,999.0,1,16,10,Autumn,2023-07-17 13:15:00,795,Afternoon,170.0,1505,MQ,3,7,10,8,1,1,69.0,68.0,Excessively delayed,2006-10-16,13,15
114,BNA,PHL,675.0,7,3,12,Winter,2023-07-17 20:05:00,1205,Evening,115.0,2300,WN,4,4,8,7,1,1,20.0,-6.0,On-time,2006-12-03,20,23
115,PNS,ATL,272.0,3,3,5,Spring,2023-07-17 14:05:00,845,Afternoon,65.0,1610,EV,2,5,7,16,1,4,-5.0,2.0,Slightly delayed,2006-05-03,14,16
116,DEN,LAS,629.0,1,24,7,Summer,2023-07-17 07:10:00,430,Morning,115.0,0805,WN,6,4,10,15,1,2,-4.0,-17.0,On-time,2006-07-24,7,8
117,DTW,PBI,1087.0,1,13,2,Winter,2023-07-17 09:26:00,566,Morning,171.0,1217,NW,6,3,9,14,1,1,1.0,-19.0,On-time,2006-02-13,9,12
118,IAH,LCH,127.0,2,14,2,Winter,2023-07-17 21:15:00,1275,Evening,47.0,2202,XE,5,2,7,16,1,1,-4.0,-2.0,On-time,2006-02-14,21,22
119,LAX,PHX,370.0,4,26,10,Autumn,2023-07-17 11:15:00,675,Morning,86.0,1241,OO,4,3,7,18,2,3,5.0,-2.0,On-time,2006-10-26,11,12
120,STL,DTW,440.0,5,22,12,Winter,2023-07-17 06:55:00,415,Morning,96.0,0931,NW,4,6,10,16,1,2,-5.0,7.0,Slightly delayed,2006-12-22,6,9
121,CVG,DTW,229.0,4,23,3,Spring,2023-07-17 16:30:00,990,Afternoon,79.0,1749,OH,4,6,10,11,1,1,-2.0,-7.0,On-time,2006-03-23,16,17
122,CLT,ORD,599.0,1,29,5,Spring,2023-07-17 21:40:00,1300,Evening,122.0,2242,US,4,11,15,18,1,1,16.0,10.0,Slightly delayed,2006-05-29,21,22
123,PHL,DTW,453.0,4,19,10,Autumn,2023-07-17 09:28:00,568,Morning,107.0,1115,NW,4,6,10,21,1,2,-4.0,29.0,Moderately delayed,2006-10-19,9,11
124,SLC,GJT,217.0,3,3,5,Spring,2023-07-17 10:03:00,603,Morning,63.0,1106,OO,4,2,6,16,3,1,-5.0,-5.0,On-time,2006-05-03,10,11
125,SLC,MSO,436.0,7,31,12,Winter,2023-07-17 17:39:00,1059,Afternoon,97.0,1916,OO,4,2,6,12,1,1,-1.0,-18.0,On-time,2006-12-31,17,19
126,ORD,SFO,1846.0,7,30,4,Spring,2023-07-17 09:30:00,570,Morning,278.0,1208,AA,11,4,15,7,1,1,0.0,-12.0,On-time,2006-04-30,9,12
127,ORD,MSP,334.0,7,3,9,Autumn,2023-07-17 09:55:00,595,Morning,89.0,1124,MQ,11,4,15,12,3,1,-3.0,-24.0,On-time,2006-09-03,9,11
128,SLC,IAH,1195.0,7,7,5,Spring,2023-07-17 13:40:00,820,Afternoon,183.0,1743,CO,4,5,9,11,3,2,-3.0,-12.0,On-time,2006-05-07,13,17
129,DEN,DFW,641.0,6,12,8,Summer,2023-07-17 15:53:00,953,Afternoon,116.0,1849,AA,6,7,13,12,1,3,-1.0,47.0,Moderately delayed,2006-08-12,15,18
130,SLC,IDA,188.0,2,12,9,Autumn,2023-07-17 10:04:00,604,Morning,58.0,1102,OO,4,2,6,14,2,1,2.0,-4.0,On-time,2006-09-12,10,11
131,RNO,PHX,601.0,7,29,10,Autumn,2023-07-17 12:33:00,753,Afternoon,98.0,1511,US,3,3,6,20,1,2,19.0,12.0,Slightly delayed,2006-10-29,12,15
132,SNA,OAK,371.0,5,1,12,Winter,2023-07-17 16:50:00,1010,Afternoon,86.0,1816,AS,2,4,6,9,2,1,1.0,3.0,Slightly delayed,2006-12-01,16,18
133,IAH,ELP,667.0,7,20,8,Summer,2023-07-17 13:10:00,790,Afternoon,118.0,1408,XE,5,3,8,15,2,1,-2.0,-2.0,On-time,2006-08-20,13,14
134,HOU,HRL,276.0,5,6,10,Autumn,2023-07-17 11:20:00,680,Morning,55.0,1215,WN,4,3,7,17,1,1,1.0,-5.0,On-time,2006-10-06,11,12
135,EWR,SAV,708.0,1,13,3,Spring,2023-07-17 09:20:00,560,Morning,160.0,1200,XE,3,2,5,16,1,1,3.0,15.0,Slightly delayed,2006-03-13,9,12
136,SJC,PHX,621.0,1,22,5,Spring,2023-07-17 15:40:00,940,Afternoon,106.0,1726,US,3,3,6,16,1,3,-1.0,0.0,On-time,2006-05-22,15,17
137,LAS,CVG,1678.0,3,8,3,Spring,2023-07-17 07:00:00,420,Morning,221.0,1341,DL,4,4,8,14,1,2,-1.0,-8.0,On-time,2006-03-08,7,13
138,MDW,RSW,1105.0,4,15,6,Summer,2023-07-17 08:30:00,510,Morning,170.0,1220,WN,5,1,6,19,1,1,0.0,-18.0,On-time,2006-06-15,8,12
139,CVG,SLC,1449.0,7,19,11,Autumn,2023-07-17 09:00:00,540,Morning,228.0,1048,DL,4,4,8,8,1,1,15.0,8.0,Slightly delayed,2006-11-19,9,10
140,CVG,BGR,906.0,1,22,5,Spring,2023-07-17 20:40:00,1240,Evening,142.0,2302,OH,4,1,5,16,2,1,5.0,-3.0,On-time,2006-05-22,20,23
141,ANC,DFW,3043.0,1,25,9,Autumn,2023-07-17 22:10:00,1330,Evening,390.0,0740,AA,3,7,10,17,1,3,16.0,-11.0,On-time,2006-09-25,22,7
142,MSP,SEA,1399.0,6,3,6,Summer,2023-07-17 21:35:00,1295,Evening,212.0,2307,NW,4,4,8,12,2,1,1.0,12.0,Slightly delayed,2006-06-03,21,23
143,LAS,FAT,258.0,2,1,8,Summer,2023-07-17 12:10:00,730,Afternoon,84.0,1334,US,4,2,6,16,2,1,4.0,5.0,Slightly delayed,2006-08-01,12,13
144,SAV,IAD,515.0,6,28,1,Winter,2023-07-17 12:00:00,720,Afternoon,105.0,1345,YV,2,4,6,12,1,1,-1.0,-18.0,On-time,2006-01-28,12,13
145,LAS,PVD,2363.0,2,31,1,Winter,2023-07-17 15:30:00,930,Afternoon,295.0,2325,WN,4,2,6,16,3,1,-5.0,-10.0,On-time,2006-01-31,15,23
146,PHX,YUM,160.0,5,4,8,Summer,2023-07-17 16:21:00,981,Afternoon,60.0,1721,YV,3,4,7,17,1,1,64.0,64.0,Excessively delayed,2006-08-04,16,17
147,HOU,BWI,1246.0,4,4,5,Spring,2023-07-17 19:30:00,1170,Evening,180.0,2330,WN,4,4,8,16,1,2,45.0,35.0,Moderately delayed,2006-05-04,19,23
148,BDL,CLT,644.0,4,9,3,Spring,2023-07-17 18:30:00,1110,Evening,123.0,2033,US,3,4,7,18,1,1,13.0,24.0,Moderately delayed,2006-03-09,18,20
