,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date
43,BOS,DCA,399.0,3,8,2,Winter,17:45:00,1065,Afternoon,102.0,1927,US,6,3,9,16,2,3,-8.0,-7.0,On-time,2006-02-08
44,MSP,MBS,463.0,5,26,5,Spring,20:10:00,1210,Evening,94.0,2244,NW,4,2,6,10,1,1,9.0,2.0,Slightly delayed,2006-05-26
45,RSW,EWR,1068.0,2,14,11,Autumn,15:05:00,905,Afternoon,178.0,1803,CO,1,3,4,5,1,1,34.0,71.0,Excessively delayed,2006-11-14
46,DTW,SDF,306.0,6,28,1,Winter,12:32:00,752,Afternoon,81.0,1353,NW,6,3,9,12,1,1,-2.0,-18.0,On-time,2006-01-28
47,MCO,EWR,938.0,7,11,6,Summer,11:35:00,695,Morning,165.0,1420,B6,4,3,7,10,1,1,1.0,-14.0,On-time,2006-06-11
48,CLE,MCO,895.0,4,9,2,Winter,08:50:00,530,Morning,145.0,1115,CO,4,4,8,12,1,1,-1.0,1.0,Slightly delayed,2006-02-09
49,OGG,HNL,100.0,1,23,10,Autumn,07:30:00,450,Morning,34.0,804,HA,2,6,8,15,1,2,-4.0,-7.0,On-time,2006-10-23
50,OMA,IAH,781.0,6,24,6,Summer,12:45:00,765,Afternoon,139.0,1504,XE,3,5,8,16,1,2,-9.0,-16.0,On-time,2006-06-24
51,IAH,RNO,1530.0,1,5,6,Summer,09:35:00,575,Morning,237.0,1132,CO,5,3,8,9,1,1,-4.0,-17.0,On-time,2006-06-05
52,CVG,BDL,661.0,3,1,3,Spring,10:45:00,645,Morning,107.0,1232,DL,4,3,7,14,1,1,-4.0,6.0,Slightly delayed,2006-03-01
53,ATL,RDU,356.0,2,24,10,Autumn,18:59:00,1139,Evening,82.0,2021,DL,5,3,8,14,2,2,0.0,-4.0,On-time,2006-10-24
54,MDW,BHM,570.0,4,30,3,Spring,08:20:00,500,Morning,100.0,1000,WN,5,2,7,12,1,1,0.0,-7.0,On-time,2006-03-30
55,TUL,PHX,935.0,2,19,12,Winter,06:20:00,380,Morning,165.0,805,WN,3,3,6,11,1,2,4.0,-5.0,On-time,2006-12-19
56,STL,LGA,887.0,6,23,12,Winter,10:55:00,655,Morning,135.0,1410,AA,4,3,7,12,2,1,19.0,8.0,Slightly delayed,2006-12-23
57,SLC,FCA,532.0,1,17,7,Summer,21:08:00,1268,Evening,96.0,2244,EV,4,3,7,15,3,2,0.0,16.0,Moderately delayed,2006-07-17
58,MSP,MDW,349.0,2,14,2,Winter,16:35:00,995,Afternoon,100.0,1815,FL,4,5,9,16,1,2,-8.0,-27.0,On-time,2006-02-14
59,TPA,BNA,612.0,4,9,11,Autumn,18:55:00,1135,Evening,110.0,1945,WN,3,4,7,16,1,1,0.0,-3.0,On-time,2006-11-09
60,ATL,MIA,595.0,4,17,8,Summer,18:20:00,1100,Evening,115.0,2015,DL,5,4,9,10,2,1,-1.0,-13.0,On-time,2006-08-17
61,BHM,EWR,850.0,4,31,8,Summer,15:24:00,924,Afternoon,166.0,1910,XE,2,3,5,11,1,1,-4.0,-4.0,On-time,2006-08-31
62,SEA,ABQ,1180.0,4,13,4,Spring,14:00:00,840,Afternoon,180.0,1800,WN,4,4,8,17,2,1,-5.0,-15.0,On-time,2006-04-13
63,SLC,BOI,291.0,7,13,8,Summer,19:36:00,1176,Evening,68.0,2044,EV,4,3,7,14,3,1,9.0,-4.0,On-time,2006-08-13
64,CLE,MDW,307.0,7,14,5,Spring,15:10:00,910,Afternoon,75.0,1525,XE,4,5,9,16,1,1,0.0,2.0,Slightly delayed,2006-05-14
65,LAS,TUS,365.0,1,27,11,Autumn,21:35:00,1295,Evening,70.0,2345,WN,4,3,7,13,4,1,27.0,21.0,Moderately delayed,2006-11-27
